moduleID,year,moduleName,link
"AP1012","2004","Economics",/Local/Exam_Papers/2004/AP/AP10121.pdf
"AP1012","2003","Economics",/Local/Exam_Papers/2003/AP/AP10121.pdf
"AP1012","2010","Mathematics (Intermediate)",/Local/Exam_Papers/2010/XA/XAP10121.pdf
"AP1012","2009","Mathematics (Intermediate)",/Local/Exam_Papers/2009/XA/XAP10121.pdf
"AP1013","2010","Mathematics (Advanced)",/Local/Exam_Papers/2010/XA/XAP10131.pdf
"AP1013","2009","Mathematics (Advanced)",/Local/Exam_Papers/2009/XA/XAP10131.pdf
"AP1013","2004","Law",/Local/Exam_Papers/2004/AP/AP10131.pdf
"AP1013","2003","Law",/Local/Exam_Papers/2003/AP/AP10131.pdf
"AP1013","2010","Mathematics (Advanced)",/Local/Exam_Papers/2010/XA/XAP10131.pdf
"AP1013","2009","Mathematics (Advanced)",/Local/Exam_Papers/2009/XA/XAP10131.pdf
"AP1014","2012","Philosophy",/Local/Exam_Papers/2012/XA/XAP10141.pdf
"AP1014","2011","Philosophy",/Local/Exam_Papers/2011/XA/XAP10141.pdf
"AP1014","2010","Philosophy",/Local/Exam_Papers/2010/XA/XAP10141.pdf
"AP1014","2009","Philosophy",/Local/Exam_Papers/2009/XA/XAP10141.pdf
"AP1014","2004","English Literature",/Local/Exam_Papers/2004/AP/AP10141.pdf
"AP1014","2003","English Literature",/Local/Exam_Papers/2003/AP/AP10141.pdf
"AP1014","2012","Philosophy",/Local/Exam_Papers/2012/XA/XAP10141.pdf
"AP1014","2011","Philosophy",/Local/Exam_Papers/2011/XA/XAP10141.pdf
"AP1014","2010","Philosophy",/Local/Exam_Papers/2010/XA/XAP10141.pdf
"AP1014","2009","Philosophy",/Local/Exam_Papers/2009/XA/XAP10141.pdf
"AP1015","2012","Physics",/Local/Exam_Papers/2012/XA/XAP10151.pdf
"AP1015","2011","Physics",/Local/Exam_Papers/2011/XA/XAP10151.pdf
"AP1015","2010","Physics",/Local/Exam_Papers/2010/XA/XAP10151.pdf
"AP1015","2009","Physics",/Local/Exam_Papers/2009/XA/XAP10151.pdf
"AP1015","2004","Sociology",/Local/Exam_Papers/2004/AP/AP10151.pdf
"AP1015","2003","Sociology",/Local/Exam_Papers/2003/AP/AP10151.pdf
"AP1015","2012","Physics",/Local/Exam_Papers/2012/XA/XAP10151.pdf
"AP1015","2011","Physics",/Local/Exam_Papers/2011/XA/XAP10151.pdf
"AP1015","2010","Physics",/Local/Exam_Papers/2010/XA/XAP10151.pdf
"AP1015","2009","Physics",/Local/Exam_Papers/2009/XA/XAP10151.pdf
"AP1016","2012","Political Science",/Local/Exam_Papers/2012/XA/XAP10161.pdf
"AP1016","2011","Political Science",/Local/Exam_Papers/2011/XA/XAP10161.pdf
"AP1016","2010","Political Science",/Local/Exam_Papers/2010/XA/XAP10161.pdf
"AP1016","2009","Political Science",/Local/Exam_Papers/2009/XA/XAP10161.pdf
"AP1016","2012","Political Science",/Local/Exam_Papers/2012/XA/XAP10161.pdf
"AP1016","2011","Political Science",/Local/Exam_Papers/2011/XA/XAP10161.pdf
"AP1016","2010","Political Science",/Local/Exam_Papers/2010/XA/XAP10161.pdf
"AP1016","2009","Political Science",/Local/Exam_Papers/2009/XA/XAP10161.pdf
"AP1017","2012","Psychology",/Local/Exam_Papers/2012/XA/XAP10171.pdf
"AP1017","2011","Psychology",/Local/Exam_Papers/2011/XA/XAP10171.pdf
"AP1017","2010","Psychology",/Local/Exam_Papers/2010/XA/XAP10171.pdf
"AP1017","2009","Psychology",/Local/Exam_Papers/2009/XA/XAP10171.pdf
"AP1017","2012","Psychology",/Local/Exam_Papers/2012/XA/XAP10171.pdf
"AP1017","2011","Psychology",/Local/Exam_Papers/2011/XA/XAP10171.pdf
"AP1017","2010","Psychology",/Local/Exam_Papers/2010/XA/XAP10171.pdf
